#Diam    area	peso	aco        
#BEGIN
5.0;0.196;0.154;CA60
6.4;0.312;0.245;CA50
8.0;0.502;0.395;CA50
10;0.785;0.616;CA50
12.5;1.227;0.963;CA50
16;2.02;1.578;CA50
20;3.142;2.466;CA50
25;4.909;3.853;CA50
32;8.042;6.313;CA50
#END
